advertiserId;programmeName;primarySector;subSectors;conversionRate;approvalRate;epc;launchDate;paymentStatus;paymentRiskLevel;awinIndex;feedEnabled;productReporting;commissionMin;commissionMax;leadMin;leadMax;cookieLength;parentSectors;;;averagePaymentTime
17927;Autobatterienbilliger DE;Automotive;Automotive|Electronic Accessories;6.45939;90.05;0.29;2019-07-19;amber;exposurelevel5;63.0122;yes;no;5;10;0;0;30;Retail & Shopping;;;75
13937;ATU DE;Automotive;Automotive;2.27835;95.18;0.23;2019-09-27;amber;exposurelevel2;49.7998;yes;no;3.5;3.5;0.8;10;30;Retail & Shopping;;;104
20296;FINN DE;Automotive;Automotive;0.536685;43.44;1.33;2020-12-07;amber;exposurelevel6;47.5496;yes;no;0;0;0;0;30;Retail & Shopping;;;48
16809;Kohl DE;Automotive;Automotive;4.15373;73.25;0.30;2019-03-27;amber;exposurelevel5;49.1447;yes;no;5;5;0;0;30;Retail & Shopping;;;64
14123;JAKO-O DE;Baby & Toddler;Childrenswear|Clothing|Clothing Accessories|Furniture & Soft Furnishings|Home & Garden|Music & DVD|Shoes|Toys & Games|Baby & Toddler;2.2178;88.44;0.14;2019-09-13;green;none;62.0305;yes;no;6;6;0;0.5;30;Retail & Shopping;;;59
16530;Zizzz.de;Baby & Toddler;Furniture & Soft Furnishings|Baby & Toddler;5.38601;90.00;1.18;2019-08-29;green;none;46.0038;yes;no;10;10;0;0;60;Retail & Shopping;;;80
18505;Babybjorn DE;Baby & Toddler;Baby & Toddler;4.61191;100.00;0.36;2020-01-21;amber;exposurelevel2;49.6481;yes;no;12;12;0;0;30;Retail & Shopping;;;114
19050;Ullenboom-Baby DE;Baby & Toddler;Baby & Toddler;5.09287;90.75;0.44;2020-05-27;green;none;75.3084;yes;no;15;15;0;0;30;Retail & Shopping;;;43
26317;Momallie DE - Deine Online Schwangerschaftsbegleit;Baby & Toddler;Baby & Toddler;22.2314;100.00;2.22;2022-01-18;green;none;94.5556;yes;no;0;0;0;0;30;Retail & Shopping;;;30
27876;Osann GmbH DE;Baby & Toddler;Baby & Toddler;4.9442;90.89;0.49;2022-03-25;green;none;61.8929;yes;no;0;0;0;0;30;Retail & Shopping;;;59
30657;swing2sleep DE;Baby & Toddler;Baby & Toddler;5.78601;27.18;0.39;2022-09-16;amber;exposurelevel2;34.0565;yes;no;0;0;0;0;30;Retail & Shopping;;;null
22333;Geuther DE;Baby & Toddler;Furniture & Soft Furnishings|Home & Garden|Toys & Games|Baby & Toddler;4.49265;77.65;0.25;2021-02-23;green;none;39.4587;yes;no;0;0;0;0;30;Retail & Shopping;;;91
15123;Kidzstore EU - FamilyBlend;Baby & Toddler;Childrenswear|Green (Eco friendly)|Baby & Toddler;0.964085;100.00;0.02;2018-06-08;amber;exposurelevel2;58.6327;yes;no;7;7;0;0;14;Retail & Shopping;;;181
26649;We Love Deco DE;Baby & Toddler;DIY|Gifts & Flowers|Baby & Toddler;4.34783;100.00;0.05;2022-07-26;amber;exposurelevel4;80.0192;yes;no;0;0;0;0;30;Retail & Shopping;;;45
14368;Geburtstagsfee DE;Baby & Toddler;Childrenswear|Gadgets|Gifts & Flowers|Home & Garden|Jewellery|Photos & Print Services|Toys & Games|Baby & Toddler;1.53846;95.97;0.15;2019-06-19;green;none;44.7385;yes;no;7;10;0;0;60;Retail & Shopping;;;132
18076;Bugaboo DE;Baby & Toddler;Baby & Toddler;3.07687;100.00;0.40;2019-08-05;green;none;69.4501;yes;no;6;6;0;0;30;Retail & Shopping;;;60
14986;Babyprofi-online DE;Baby & Toddler;Baby & Toddler;2.46219;94.28;0.17;2019-03-13;amber;exposurelevel5;44.9062;yes;no;4;4;0;0;60;Retail & Shopping;;;84
26609;Stokke DE/AT;Baby & Toddler;Baby & Toddler;1.08883;79.17;0.12;2022-04-11;green;none;40.7258;yes;no;0;0;0;0;30;Retail & Shopping;;;null
12387;Babywalz DE;Baby & Toddler;Baby & Toddler;4.22453;93.73;0.20;2018-04-09;amber;exposurelevel2;64.4214;yes;no;4;6;0;0;10;Retail & Shopping;;;91
27648;Kleiner Fuchs Affiliate Marketing Program DE;Baby & Toddler;Home & Garden|Baby & Toddler;9.17405;100.00;0.14;2022-06-07;green;none;79.5217;yes;no;0;0;0;0;30;Retail & Shopping;;;55
17349;HOBEA-Germany DE;Baby & Toddler;Home & Garden|Baby & Toddler;6.19391;81.70;0.17;2019-10-08;green;none;55.6435;yes;no;7;7;0;0;60;Retail & Shopping;;;72
11730;Vertbaudet DE;Baby & Toddler;Childrenswear|Furniture & Soft Furnishings|Toys & Games|Baby & Toddler;3.84988;81.81;0.11;2018-04-24;amber;exposurelevel5;52.0093;yes;no;10;14;0;0;30;Retail & Shopping;;;70
14357;kidsroom DE;Baby & Toddler;Baby & Toddler;1.71029;61.63;0.10;2019-06-18;green;none;54.1193;yes;no;4;4;0;0;30;Retail & Shopping;;;63
14824;babymarkt DE;Baby & Toddler;Baby & Toddler;1.87046;87.70;0.08;2019-09-05;green;none;41.3441;yes;yes;0;8;0;0;30;Retail & Shopping;;;88
15170;Ernstings-family DE;Baby & Toddler;Childrenswear|Clothing|Clothing Accessories|Furniture & Soft Furnishings|Jewellery|Lingerie|Menswear|Shoes|Sports Equipment|Toys & Games|Womenswear|Baby & Toddler;1.9882;84.90;0.10;2019-09-06;amber;exposurelevel2;50.8679;yes;no;10;10;0;0;30;Retail & Shopping;;;148
28093;Lovevery EU;Baby & Toddler;Books & Subscriptions|Toys & Games|Baby & Toddler;0.979218;100.00;0.08;2022-04-12;amber;exposurelevel2;45.9875;yes;yes;0;0;0;0;30;Retail & Shopping;;;131
19648;Bumpli DE;Baby & Toddler;Baby & Toddler;7.15405;100.00;0.22;2021-01-12;green;none;52.1759;yes;no;10;10;0;0;30;Retail & Shopping;;;90
29395;NUK DE;Baby & Toddler;Baby & Toddler;5.98254;98.12;0.10;2022-05-04;amber;exposurelevel5;73.4793;yes;no;0;0;0;0;30;Retail & Shopping;;;50
23615;Sailer Verlag DE;Books & Subscriptions;Books & Subscriptions|Baby & Toddler;1.76776;100.00;0.20;2021-08-11;green;none;46.7876;yes;no;0;0;0;0;30;Retail & Shopping;;;77
14158;Thalia DE;Books & Subscriptions;Books & Subscriptions;0.0512894;94.60;0.10;2019-09-30;amber;exposurelevel2;59.9669;yes;no;4;12;0;0;30;Retail & Shopping;;;173
21816;Studibuch Shop DE;Books & Subscriptions;Books & Subscriptions|Green (Eco friendly);3.19939;63.97;0.02;2021-01-28;green;none;31.9881;yes;no;0;0;0;0;30;Retail & Shopping;;;87
26429;SpringerLink DE;Books & Subscriptions;Books & Subscriptions;0.460954;52.81;0.11;2022-07-06;green;none;48.9029;yes;no;0;0;0;0;30;Retail & Shopping;;;43
26067;Piper Verlag DE;Books & Subscriptions;Books & Subscriptions;0.811386;96.20;0.03;2022-02-25;green;none;60.772;yes;no;0;0;0;0;30;Retail & Shopping;;;67
16228;Raabe DE;Books & Subscriptions;Audio Visual|Books & Subscriptions|Music & DVD;6.31243;96.39;0.19;2019-07-19;green;none;86.3741;yes;no;15;15;1;1;30;Retail & Shopping;;;38
